eta,event_id,generation,m,p,particle,particle_id,particle_type,phi,process,pt,px,py,pz,q,sub_particle,vertex_primary,vertex_secondary,vt,vx,vy,vz,
-3.0150980949401855,1157,0,0.10565836727619171,77.72834777832031,1,4503599644147712,-13,1.445651888847351,0,7.605463981628418,0.9492995738983154,7.545986652374268,-77.3553695678711,1.0,0,1,0,-6.499997138977051,0.0030510746873915195,0.016152435913681984,18.5797061920166,
-2.7368392944335938,1158,0,0.10565836727619171,54.271602630615234,1,4503599644147712,-13,-0.26589229702949524,0,7.0014824867248535,6.755439281463623,-1.8397817611694336,-53.818084716796875,1.0,0,1,0,5.303308486938477,-0.020623046904802322,0.0014061873080208898,-20.88739776611328,
1.241897463798523,1159,0,0.10565836727619171,16.712854385375977,1,4503599644147712,-13,1.8022383451461792,0,8.911117553710938,-2.044044017791748,8.673517227172852,14.139006614685059,1.0,0,1,0,2.001899480819702,-0.01243915967643261,0.013231674209237099,44.01469039916992,
2.164860963821411,1160,0,0.10565836727619171,34.07679748535156,1,4503599644147712,-13,1.878682255744934,0,7.720025539398193,-2.3395121097564697,7.357001781463623,33.19080352783203,1.0,0,1,0,-8.166017532348633,-0.001346106524579227,0.017416667193174362,82.61139678955078,
2.8934621810913086,1161,0,0.10565836727619171,28.97129249572754,1,4503599644147712,-13,-0.8229366540908813,0,3.199286460876465,2.1757423877716064,-2.3455443382263184,28.79410171508789,1.0,0,1,0,-10.816743850708008,-0.0017385398969054222,-0.005422873888164759,-116.64332580566406,
-1.4055393934249878,1162,0,0.10565836727619171,19.441728591918945,1,4503599644147712,-13,-1.0816806554794312,0,8.994636535644531,4.226088523864746,-7.940003395080566,-17.235931396484375,1.0,0,1,0,7.567564010620117,-0.009650884196162224,-0.0047437152825295925,76.40359497070312,
0.15460632741451263,1163,0,0.10565836727619171,7.119219779968262,1,4503599644147712,13,-2.319092035293579,0,7.03497314453125,-4.7865309715271,-5.155576705932617,1.0919896364212036,-1.0,0,1,0,-0.0456562303006649,0.020931053906679153,-0.004844218026846647,12.174135208129883,
1.725948452949524,1164,0,0.10565836727619171,20.743247985839844,1,4503599644147712,-13,0.45995205640792847,0,7.157965183258057,6.414064884185791,3.177457809448242,19.469100952148438,1.0,0,1,0,-1.227014183998108,0.004131237976253033,-0.01479063369333744,16.508697509765625,
2.8378660678863525,1165,0,0.10565836727619171,20.94012451171875,1,4503599644147712,13,2.6693379878997803,0,2.4437310695648193,-2.1762523651123047,1.1116420030593872,20.797042846679688,-1.0,0,1,0,-1.2011163234710693,0.012070861645042896,0.016027266159653664,54.78712844848633,
2.7467894554138184,1166,0,0.10565836727619171,18.249271392822266,1,4503599644147712,-13,2.1523191928863525,0,2.331188678741455,-1.2805150747299194,1.9480044841766357,18.099763870239258,1.0,0,1,0,-10.458593368530273,0.008544688113033772,-0.015507017262279987,57.55373764038086,
-1.3861109018325806,1167,0,0.10565836727619171,15.054044723510742,1,4503599644147712,-13,-1.624682068824768,0,7.0854034423828125,-0.38161787390708923,-7.0751190185546875,-13.282369613647461,1.0,0,1,0,-3.798461437225342,-0.015487476252019405,0.018675850704312325,38.11988067626953,
0.8503831028938293,1168,0,0.10565836727619171,11.051736831665039,1,4503599644147712,-13,-2.118849039077759,0,7.985951900482178,-4.160889148712158,-6.816335201263428,7.639729022979736,1.0,0,1,0,9.14435863494873,-0.007475800812244415,-0.010100004263222218,9.202714920043945,
